===== Beacon Round @ 0s =====
GW 0 [x=900, y=100, z=15] → ED 74 | Distance: 774.698 m | RSSI: -105.603 dBm | Packet Size: 16 bytes | Noise: -0.00303981 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 75 | Distance: 924.36 m | RSSI: -105.93 dBm | Packet Size: 16 bytes | Noise: 0.182948 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 76 | Distance: 861.651 m | RSSI: -103.694 dBm | Packet Size: 16 bytes | Noise: -1.76034 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 77 | Distance: 954.023 m | RSSI: -97.5443 dBm | Packet Size: 16 bytes | Noise: 2.04542 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 80 | Distance: 153.324 m | RSSI: -80.4013 dBm | Packet Size: 16 bytes | Noise: -1.58074 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 81 | Distance: 651.092 m | RSSI: -108.847 dBm | Packet Size: 16 bytes | Noise: 1.07928 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 84 | Distance: 848.64 m | RSSI: -103.843 dBm | Packet Size: 16 bytes | Noise: 0.513395 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 85 | Distance: 1585.05 m | RSSI: -113.311 dBm | Packet Size: 16 bytes | Noise: 0.427329 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 86 | Distance: 1671.46 m | RSSI: -118.837 dBm | Packet Size: 16 bytes | Noise: -1.54835 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 88 | Distance: 1264.83 m | RSSI: -110.222 dBm | Packet Size: 16 bytes | Noise: -0.547581 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 91 | Distance: 1151.26 m | RSSI: -112.399 dBm | Packet Size: 16 bytes | Noise: -0.0609676 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 92 | Distance: 777.499 m | RSSI: -99.1489 dBm | Packet Size: 16 bytes | Noise: 1.5061 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 93 | Distance: 1197.57 m | RSSI: -114.957 dBm | Packet Size: 16 bytes | Noise: -1.41996 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 96 | Distance: 1695.51 m | RSSI: -110.576 dBm | Packet Size: 16 bytes | Noise: -0.705948 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 97 | Distance: 212.677 m | RSSI: -97.7885 dBm | Packet Size: 16 bytes | Noise: 3.22426 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 98 | Distance: 498.465 m | RSSI: -109.009 dBm | Packet Size: 16 bytes | Noise: -0.115565 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 99 | Distance: 1513.77 m | RSSI: -109.952 dBm | Packet Size: 16 bytes | Noise: 1.28551 dBm | Tx power: 14 dBm
→ GW 0 Beacon PDR: 52/100 (52%)

GW 1 [x=0, y=500, z=15] → ED 0 | Distance: 327.064 m | RSSI: -89.0131 dBm | Packet Size: 16 bytes | Noise: 0.226639 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 1 | Distance: 928.226 m | RSSI: -104.843 dBm | Packet Size: 16 bytes | Noise: -0.446022 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 2 | Distance: 306.826 m | RSSI: -84.5356 dBm | Packet Size: 16 bytes | Noise: 1.30163 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 4 | Distance: 621.818 m | RSSI: -97.5064 dBm | Packet Size: 16 bytes | Noise: 0.0522297 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 7 | Distance: 1215.62 m | RSSI: -111.199 dBm | Packet Size: 16 bytes | Noise: -1.41851 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 8 | Distance: 334.567 m | RSSI: -88.3434 dBm | Packet Size: 16 bytes | Noise: 1.14301 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 10 | Distance: 1266.44 m | RSSI: -113.753 dBm | Packet Size: 16 bytes | Noise: -1.94835 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 11 | Distance: 1162.17 m | RSSI: -114.486 dBm | Packet Size: 16 bytes | Noise: -2.95253 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 13 | Distance: 898.271 m | RSSI: -101.718 dBm | Packet Size: 16 bytes | Noise: 2.5802 dBm | Tx power: 14 dBm
